Reference Number,Grid Ref: Easting,Grid Ref: Northing,Number of Vehicles,Expr1,Accident Date,Day,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty,Type of Vehicle
39T1212,429137,435242,2,Leeds 2016,26/09/2016,Monday,1645,A,Dry,Daylight street lights present,Unknown,Driver,Slight,Male,42,Car
39T1212,429137,435242,2,Leeds 2016,26/09/2016,Monday,1645,A,Dry,Daylight street lights present,Unknown,Passenger,Slight,Female,42,Car
39T1212,429137,435242,2,Leeds 2016,26/09/2016,Monday,1645,A,Dry,Daylight street lights present,Unknown,Passenger,Slight,Male,27,Car
39T1212,429137,435242,2,Leeds 2016,26/09/2016,Monday,1645,A,Dry,Daylight street lights present,Unknown,Passenger,Slight,Female,32,Car
39T1525,428838,436575,2,Leeds 2016,29/09/2016,Thursday,1430,Unclassified,Wet or Damp,Daylight street lights present,Raining without high winds,Driver,Slight,Male,23,Car
39T1525,428838,436575,2,Leeds 2016,29/09/2016,Thursday,1430,Unclassified,Wet or Damp,Daylight street lights present,Raining without high winds,Passenger,Slight,Male,26,Car
39T1918,434066,433354,1,Leeds 2016,02/09/2016,Friday,1800,Unclassified,Dry,Daylight street lights present,Fine without high winds,Pedestrian,Slight,Female,11,Car
39U0240,430659,433341,2,Leeds 2016,30/09/2016,Friday,710,Unclassified,Dry,Daylight street lights present,Fine without high winds,Driver,Slight,Male,17,Motorcycle over 50cc and up to 125cc
39U0644,441943,430107,1,Leeds 2016,30/09/2016,Friday,1214,Unclassified,Dry,Daylight street lights present,Fine without high winds,Driver,Serious,Male,17,Motorcycle over 50cc and up to 125cc
39U0725,428140,435853,3,Leeds 2016,30/09/2016,Friday,1300,Unclassified,Dry,Daylight street lights present,Fine without high winds,Driver,Slight,Male,48,Motorcycle over 500cc
39U0971,430720,432922,1,Leeds 2016,30/09/2016,Friday,1459,Unclassified,Dry,Daylight street lights present,Fine without high winds,Pedestrian,Slight,Female,11,Car
39U1015,421768,441096,1,Leeds 2016,30/09/2016,Friday,1730,Unclassified,Dry,Daylight street lights present,Fine without high winds,Driver,Slight,Female,27,Car
39U1128,428387,434396,1,Leeds 2016,30/09/2016,Friday,1607,Unclassified,Dry,Daylight street lights present,Fine without high winds,Pedestrian,Slight,Male,12,Car
39U1180,425941,426736,1,Leeds 2016,30/09/2016,Friday,1630,Unclassified,Dry,Daylight street lights present,Fine without high winds,Pedestrian,Slight,Female,51,Car
