Reference Number,Grid Ref: Easting,Grid Ref: Northing,Number of Vehicles,Expr1,Accident Date,Day,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty,Type of Vehicle
2181280,418241,442351,2,Leeds 2016,08/01/2016,Friday,1905,A,Dry,Darkness street lights present and lit,Fine without high winds,Driver,Serious,Male,38,Motorcycle over 500cc
2191037,424993,432898,2,Leeds 2016,09/01/2016,Saturday,1615,Unclassified,Dry,Darkness street lights present and lit,Fine without high winds,Driver,Slight,Female,50,Car
2CQ0870,431159,436397,2,Leeds 2016,15/01/2016,Friday,1645,Unclassified,Dry,Daylight street lights present,Fine without high winds,Driver,Slight,Male,26,Car
2CQ0870,431159,436397,2,Leeds 2016,15/01/2016,Friday,1645,Unclassified,Dry,Daylight street lights present,Fine without high winds,Passenger,Slight,Female,22,Car
3111091,439313,432376,2,Leeds 2016,01/01/2016,Friday,956,A,Wet or Damp,Daylight street lights present,Fine without high winds,Driver,Slight,Male,57,Pedal cycle
3111178,426994,439957,2,Leeds 2016,01/01/2016,Friday,1115,A,Dry,Daylight street lights present,Fine without high winds,Driver,Serious,Male,59,Pedal cycle
3111395,427813,431257,1,Leeds 2016,01/01/2016,Friday,1352,Motorway,Wet or Damp,Daylight street lights present,Fine without high winds,Driver,Serious,Female,53,Car
3111981,431496,432727,2,Leeds 2016,01/01/2016,Friday,2015,Unclassified,Wet or Damp,Darkness street lights present and lit,Raining without high winds,Passenger,Slight,Female,22,Car
3120560,431880,430498,2,Leeds 2016,02/01/2016,Saturday,1110,Motorway,Wet or Damp,Daylight street lights present,Fine without high winds,Passenger,Slight,Female,20,Car
3120872,429425,433999,1,Leeds 2016,02/01/2016,Saturday,1638,A(M),Wet or Damp,Darkness street lights present and lit,Raining without high winds,Driver,Slight,Male,22,Car
3120872,429425,433999,1,Leeds 2016,02/01/2016,Saturday,1638,A(M),Wet or Damp,Darkness street lights present and lit,Raining without high winds,Passenger,Slight,Female,26,Car
3130442,435325,433760,5,Leeds 2016,03/01/2016,Sunday,1150,Unclassified,Wet or Damp,Daylight street lights present,Raining without high winds,Driver,Slight,Male,35,Car
3130442,435325,433760,5,Leeds 2016,03/01/2016,Sunday,1150,Unclassified,Wet or Damp,Daylight street lights present,Raining without high winds,Passenger,Slight,Female,21,Car
3130442,435325,433760,5,Leeds 2016,03/01/2016,Sunday,1150,Unclassified,Wet or Damp,Daylight street lights present,Raining without high winds,Passenger,Slight,Male,28,Car
3130444,429147,431999,2,Leeds 2016,03/01/2016,Sunday,1154,Unclassified,Wet or Damp,Daylight street lights present,Raining without high winds,Driver,Slight,Male,53,Motorcycle over 500cc
3130532,427651,433421,1,Leeds 2016,03/01/2016,Sunday,1252,Unclassified,Wet or Damp,Daylight street lights present,Raining without high winds,Pedestrian,Slight,Female,18,Taxi or Private hire car
3130769,440619,446100,1,Leeds 2016,03/01/2016,Sunday,1543,A(M),Wet or Damp,Darkness no street lighting,Raining without high winds,Driver,Slight,Female,47,Car
3130786,433130,436116,2,Leeds 2016,03/01/2016,Sunday,1555,A,Wet or Damp,Darkness street lights present and lit,Raining without high winds,Driver,Slight,Female,30,Car
3130786,433130,436116,2,Leeds 2016,03/01/2016,Sunday,1555,A,Wet or Damp,Darkness street lights present and lit,Raining without high winds,Passenger,Slight,Male,8,Car
3130805,428943,433430,2,Leeds 2016,03/01/2016,Sunday,1615,Unclassified,Wet or Damp,Darkness street lights present and lit,Raining without high winds,Driver,Slight,Male,39,Car
3130805,428943,433430,2,Leeds 2016,03/01/2016,Sunday,1615,Unclassified,Wet or Damp,Darkness street lights present and lit,Raining without high winds,Passenger,Slight,Female,39,Car
3130885,431884,435070,1,Leeds 2016,03/01/2016,Sunday,1650,Unclassified,Wet or Damp,Darkness street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,42,Car
3140260,422045,434280,2,Leeds 2016,04/01/2016,Monday,1730,B,Wet or Damp,Darkness street lights present and lit,Raining without high winds,Driver,Slight,Male,26,Pedal cycle
3140730,443157,448516,1,Leeds 2016,04/01/2016,Monday,1413,Unclassified,Dry,Daylight street lights present,Fine without high winds,Driver,Slight,Male,58,Motorcycle over 50cc and up to 125cc
3141054,431210,439310,2,Leeds 2016,04/01/2016,Monday,1700,A,Wet or Damp,Darkness street lights present and lit,Raining without high winds,Driver,Slight,Female,29,Car
3141054,431210,439310,2,Leeds 2016,04/01/2016,Monday,1700,A,Wet or Damp,Darkness street lights present and lit,Raining without high winds,Driver,Slight,Male,33,Taxi or Private hire car
3151110,420945,439962,2,Leeds 2016,05/01/2016,Tuesday,1752,B,Wet or Damp,Darkness street lights present and lit,Raining without high winds,Driver,Slight,Male,43,Pedal cycle
3151301,436574,435725,1,Leeds 2016,05/01/2016,Tuesday,1930,Unclassified,Wet or Damp,Daylight street lights present,Fine without high winds,Pedestrian,Slight,Male,60,Car
3160260,432960,440281,2,Leeds 2016,06/01/2016,Wednesday,815,Unclassified,Dry,Daylight street lights present,Fine without high winds,Driver,Slight,Male,52,Motorcycle over 500cc
3160311,431925,434792,1,Leeds 2016,06/01/2016,Wednesday,800,Unclassified,Dry,Darkness street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,33,Car
3160793,426228,431783,2,Leeds 2016,06/01/2016,Wednesday,1410,Unclassified,Wet or Damp,Daylight street lights present,Raining without high winds,Driver,Slight,Male,25,Pedal cycle
3161000,429741,436518,1,Leeds 2016,06/01/2016,Wednesday,1520,Unclassified,Wet or Damp,Darkness street lighting unknown,Raining without high winds,Pedestrian,Slight,Female,49,Car
3161098,429959,433326,2,Leeds 2016,06/01/2016,Wednesday,1723,Unclassified,Dry,Darkness street lights present and lit,Fine without high winds,Driver,Slight,Male,39,Pedal cycle
3161298,428511,433054,2,Leeds 2016,06/01/2016,Wednesday,1355,B,Wet or Damp,Daylight street lights present,Fine without high winds,Driver,Slight,Male,27,Car
3161298,428511,433054,2,Leeds 2016,06/01/2016,Wednesday,1355,B,Wet or Damp,Daylight street lights present,Fine without high winds,Passenger,Slight,Female,55,Car
3161323,430562,436939,2,Leeds 2016,06/01/2016,Wednesday,1919,Unclassified,Wet or Damp,Daylight street lights present,Fine without high winds,Driver,Slight,Male,72,Car
3161328,427362,433970,2,Leeds 2016,06/01/2016,Wednesday,1915,Unclassified,Wet or Damp,Darkness street lights present and lit,Raining without high winds,Driver,Slight,Male,36,Car
3161328,427362,433970,2,Leeds 2016,06/01/2016,Wednesday,1915,Unclassified,Wet or Damp,Darkness street lights present and lit,Raining without high winds,Passenger,Slight,Male,38,Car
3170622,436173,427637,2,Leeds 2016,07/01/2016,Thursday,1300,A,Dry,Daylight street lights present,Fine without high winds,Passenger,Slight,Female,2,Car
3170622,436173,427637,2,Leeds 2016,07/01/2016,Thursday,1300,A,Dry,Daylight street lights present,Fine without high winds,Passenger,Slight,Female,28,Car
3170694,440850,434501,1,Leeds 2016,07/01/2016,Thursday,1350,Motorway,Wet or Damp,Daylight street lights present,Fine with high winds,Driver,Slight,Male,43,Goods vehicle 7.5 tonnes mgw and over
3170743,431467,432679,2,Leeds 2016,07/01/2016,Thursday,1435,Unclassified,Wet or Damp,Daylight street lights present,Fine without high winds,Driver,Slight,Female,44,Car
3170766,429766,433410,1,Leeds 2016,07/01/2016,Thursday,1220,Unclassified,Wet or Damp,Daylight street lights present,Raining without high winds,Passenger,Slight,Female,81,Bus or coach (17 or more passenger seats)
3170948,428638,433182,3,Leeds 2016,07/01/2016,Thursday,1607,Unclassified,Dry,Darkness street lights present and lit,Fine without high winds,Driver,Slight,Female,45,Car
3170948,428638,433182,3,Leeds 2016,07/01/2016,Thursday,1607,Unclassified,Dry,Darkness street lights present and lit,Fine without high winds,Passenger,Slight,Male,21,Car
3171039,438950,431555,2,Leeds 2016,07/01/2016,Thursday,1643,A,Dry,Darkness no street lighting,Fine without high winds,Driver,Slight,Female,34,Car
3171039,438950,431555,2,Leeds 2016,07/01/2016,Thursday,1643,A,Dry,Darkness no street lighting,Fine without high winds,Driver,Slight,Female,37,Car
3171722,424108,431567,1,Leeds 2016,07/01/2016,Thursday,2345,Unclassified,Wet or Damp,Darkness no street lighting,Raining without high winds,Driver,Slight,Male,26,Car
3180831,427023,424758,1,Leeds 2016,08/01/2016,Friday,1435,Unclassified,Wet or Damp,Daylight street lights present,Fine without high winds,Pedestrian,Fatal,Male,78,Goods vehicle 7.5 tonnes mgw and over
3181079,431351,435059,2,Leeds 2016,08/01/2016,Friday,1706,A,Dry,Darkness street lights present and lit,Fine without high winds,Driver,Slight,Male,56,Motorcycle over 125cc and up to 500cc
3181260,434969,436415,1,Leeds 2016,08/01/2016,Friday,1835,Unclassified,Wet or Damp,Darkness street lights present and lit,Fine without high winds,Pedestrian,Slight,Female,11,Car
3181333,427496,425485,2,Leeds 2016,08/01/2016,Friday,1936,A,Dry,Darkness street lights present and lit,Fine without high winds,Driver,Slight,Female,18,Car
3181333,427496,425485,2,Leeds 2016,08/01/2016,Friday,1936,A,Dry,Darkness street lights present and lit,Fine without high winds,Passenger,Slight,Male,26,Car
3181333,427496,425485,2,Leeds 2016,08/01/2016,Friday,1936,A,Dry,Darkness street lights present and lit,Fine without high winds,Driver,Slight,Male,42,Car
3190305,420396,445354,2,Leeds 2016,09/01/2016,Saturday,505,Unclassified,Wet or Damp,Darkness street lights present and lit,Fog or mist ,Driver,Serious,Male,45,Pedal cycle
3190541,430549,427292,2,Leeds 2016,09/01/2016,Saturday,1144,Unclassified,Wet or Damp,Daylight street lights present,Raining without high winds,Driver,Slight,Male,25,Motorcycle over 50cc and up to 125cc
3190903,437677,425385,3,Leeds 2016,09/01/2016,Saturday,1512,Motorway,Wet or Damp,Daylight street lights present,Fine without high winds,Driver,Slight,Female,54,Car
3190903,437677,425385,3,Leeds 2016,09/01/2016,Saturday,1512,Motorway,Wet or Damp,Daylight street lights present,Fine without high winds,Passenger,Slight,Male,55,Car
3190903,437677,425385,3,Leeds 2016,09/01/2016,Saturday,1512,Motorway,Wet or Damp,Daylight street lights present,Fine without high winds,Passenger,Slight,Female,31,Car
3191196,441059,432040,4,Leeds 2016,09/01/2016,Saturday,1230,A,Dry,Daylight street lights present,Fine without high winds,Driver,Slight,Female,40,Car
3191196,441059,432040,4,Leeds 2016,09/01/2016,Saturday,1230,A,Dry,Daylight street lights present,Fine without high winds,Passenger,Slight,Male,15,Car
3191196,441059,432040,4,Leeds 2016,09/01/2016,Saturday,1230,A,Dry,Daylight street lights present,Fine without high winds,Driver,Slight,Female,30,Car
3191206,430876,434256,2,Leeds 2016,09/01/2016,Saturday,1810,A,Wet or Damp,Darkness street lights present and lit,Raining without high winds,Driver,Slight,Male,23,Car
3191206,430876,434256,2,Leeds 2016,09/01/2016,Saturday,1810,A,Wet or Damp,Darkness street lights present and lit,Raining without high winds,Driver,Slight,Female,29,Car
3191223,427527,434393,1,Leeds 2016,09/01/2016,Saturday,1755,Unclassified,Wet or Damp,Darkness street lights present and lit,Raining without high winds,Pedestrian,Serious,Female,60,Car
3191315,426474,428544,1,Leeds 2016,09/01/2016,Saturday,1930,A,Wet or Damp,Darkness street lights present and lit,Raining without high winds,Pedestrian,Slight,Female,47,Car
3191376,429199,431548,1,Leeds 2016,09/01/2016,Saturday,2013,Unclassified,Dry,Darkness street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,63,Car
31A0692,427379,438571,4,Leeds 2016,10/01/2016,Sunday,1330,A,Wet or Damp,Daylight street lights present,Fine with high winds,Driver,Slight,Female,29,Car
31A0692,427379,438571,4,Leeds 2016,10/01/2016,Sunday,1330,A,Wet or Damp,Daylight street lights present,Fine with high winds,Passenger,Slight,Male,6,Car
31A0736,420319,445361,2,Leeds 2016,10/01/2016,Sunday,1400,Unclassified,Dry,Daylight street lights present,Fine without high winds,Driver,Slight,Female,80,Car
31B0226,431554,430540,2,Leeds 2016,11/01/2016,Monday,814,Motorway,Wet or Damp,Daylight street lights present,Fine without high winds,Passenger,Slight,Male,57,Motorcycle over 500cc
31B0246,427569,434540,2,Leeds 2016,11/01/2016,Monday,740,A,Wet or Damp,Daylight street lights present,Fine without high winds,Driver,Serious,Male,36,Pedal cycle
31B0266,431661,437523,1,Leeds 2016,11/01/2016,Monday,853,Unclassified,Wet or Damp,Daylight street lights present,Fine without high winds,Pedestrian,Slight,Female,49,Taxi or Private hire car
31B0488,424994,432563,2,Leeds 2016,11/01/2016,Monday,1140,Unclassified,Dry,Daylight street lights present,Fine without high winds,Driver,Serious,Female,80,Car
31B1060,429933,432767,4,Leeds 2016,11/01/2016,Monday,1736,A,Wet or Damp,Darkness street lights present and lit,Fine without high winds,Driver,Slight,Male,60,Car
31B1310,428473,434341,2,Leeds 2016,11/01/2016,Monday,2005,Unclassified,Wet or Damp,Darkness street lights present and lit,Fine without high winds,Driver,Slight,Male,29,Motorcycle over 50cc and up to 125cc
31C0236,427127,434793,2,Leeds 2016,12/01/2016,Tuesday,905,A,Wet or Damp,Daylight street lights present,Fine without high winds,Driver,Serious,Male,45,Pedal cycle
31C0900,424579,433688,2,Leeds 2016,12/01/2016,Tuesday,1618,A,Dry,Darkness street lights present and lit,Fine without high winds,Passenger,Slight,Female,50,Car
31D0289,430237,433264,1,Leeds 2016,07/01/2016,Thursday,2155,Unclassified,Dry,Darkness street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,47,Car
31D0487,426639,433017,2,Leeds 2016,13/01/2016,Wednesday,1200,Unclassified,Dry,Daylight street lights present,Fine without high winds,Driver,Slight,Female,54,Car
31D0503,426060,431588,2,Leeds 2016,12/07/2016,Tuesday,800,A,Dry,Daylight street lights present,Fine without high winds,Driver,Serious,Male,51,Pedal cycle
31D0885,431529,433104,1,Leeds 2016,13/01/2016,Wednesday,1510,Unclassified,Dry,Daylight street lights present,Fine without high winds,Pedestrian,Slight,Male,11,Car
31D1135,436642,425938,3,Leeds 2016,13/01/2016,Wednesday,1720,Motorway,Wet or Damp,Darkness no street lighting,Fine without high winds,Driver,Slight,Male,40,Car
31D1135,436642,425938,3,Leeds 2016,13/01/2016,Wednesday,1720,Motorway,Wet or Damp,Darkness no street lighting,Fine without high winds,Driver,Slight,Male,22,Car
31D1322,428460,431348,2,Leeds 2016,13/01/2016,Wednesday,1850,A,Wet or Damp,Darkness street lights present and lit,Raining without high winds,Passenger,Serious,Male,20,Car
31D1322,428460,431348,2,Leeds 2016,13/01/2016,Wednesday,1850,A,Wet or Damp,Darkness street lights present and lit,Raining without high winds,Passenger,Slight,Male,20,Car
31D1322,428460,431348,2,Leeds 2016,13/01/2016,Wednesday,1850,A,Wet or Damp,Darkness street lights present and lit,Raining without high winds,Driver,Slight,Male,33,Car
3.10E+258,425976,427855,3,Leeds 2016,14/01/2016,Thursday,844,Unclassified,Frost or Ice,Daylight street lights present,Snowing with high winds,Driver,Slight,Male,30,Car
3.10E+258,425976,427855,3,Leeds 2016,14/01/2016,Thursday,844,Unclassified,Frost or Ice,Daylight street lights present,Snowing with high winds,Driver,Slight,Female,35,Car
31E0436,430113,434139,1,Leeds 2016,13/01/2016,Wednesday,1705,Unclassified,Dry,Darkness street lights present and lit,Fine without high winds,Pedestrian,Slight,Female,30,Car
31E0606,433391,434055,1,Leeds 2016,14/01/2016,Thursday,1245,A,Dry,Daylight street lights present,Fine without high winds,Pedestrian,Slight,Male,20,Car
31E0658,421753,432698,2,Leeds 2016,14/01/2016,Thursday,1334,Unclassified,Dry,Daylight street lights present,Fine without high winds,Driver,Slight,Female,62,Car
31E0963,432820,432033,1,Leeds 2016,14/01/2016,Thursday,1623,Unclassified,Wet or Damp,Darkness street lights present and lit,Fine without high winds,Driver,Slight,Male,36,Car
31E0981,435033,434695,2,Leeds 2016,14/01/2016,Thursday,1645,A,Dry,Darkness street lights present and lit,Fine without high winds,Driver,Serious,Male,68,Car
31E1090,429097,434722,2,Leeds 2016,14/01/2016,Thursday,1545,Unclassified,Dry,Darkness street lights present and lit,Fine without high winds,Driver,Slight,Male,23,Pedal cycle
31E1099,432287,434644,2,Leeds 2016,14/01/2016,Thursday,1745,Unclassified,Dry,Darkness street lights present and lit,Fine without high winds,Driver,Slight,Male,27,Car
31E1099,432287,434644,2,Leeds 2016,14/01/2016,Thursday,1745,Unclassified,Dry,Darkness street lights present and lit,Fine without high winds,Passenger,Slight,Female,21,Car
31F0333,420214,445629,2,Leeds 2016,14/01/2016,Thursday,1215,Unclassified,Wet or Damp,Daylight street lights present,Raining without high winds,Driver,Slight,Male,52,Pedal cycle
31F0855,429145,431748,1,Leeds 2016,15/01/2016,Friday,1442,Unclassified,Wet or Damp,Daylight street lights present,Fine without high winds,Driver,Slight,Male,57,Pedal cycle
31F0855,429145,431748,1,Leeds 2016,15/01/2016,Friday,1442,Unclassified,Wet or Damp,Daylight street lights present,Fine without high winds,Pedestrian,Slight,Male,26,Pedal cycle
31F1081,424569,434444,1,Leeds 2016,15/01/2016,Friday,1650,Unclassified,Frost or Ice,Darkness street lights present and lit,Fine without high winds,Driver,Slight,Female,17,M cycle 50cc and under
31F1111,431874,435948,2,Leeds 2016,15/01/2016,Friday,1700,B,Wet or Damp,Darkness street lights present and lit,Raining without high winds,Driver,Slight,Female,31,Car
31F1272,432061,435963,2,Leeds 2016,15/01/2016,Friday,1837,Unclassified,Wet or Damp,Darkness street lights present and lit,Fine without high winds,Driver,Slight,Male,37,Car
31F1687,424982,432677,2,Leeds 2016,15/01/2016,Friday,2216,Unclassified,Wet or Damp,Daylight street lights present,Raining without high winds,Passenger,Serious,Female,26,Car
31F1687,424982,432677,2,Leeds 2016,15/01/2016,Friday,2216,Unclassified,Wet or Damp,Daylight street lights present,Raining without high winds,Passenger,Slight,Male,7,Car
31F1687,424982,432677,2,Leeds 2016,15/01/2016,Friday,2216,Unclassified,Wet or Damp,Daylight street lights present,Raining without high winds,Passenger,Slight,Male,7,Car
31G0345,429683,439068,1,Leeds 2016,16/01/2016,Saturday,850,Unclassified,Dry,Daylight street lights present,Fine without high winds,Driver,Slight,Female,23,Car
31G0363,430907,432292,2,Leeds 2016,16/01/2016,Saturday,850,A,Wet or Damp,Daylight street lights present,Fine without high winds,Driver,Slight,Male,28,Car
31G0477,429767,438911,2,Leeds 2016,16/01/2016,Saturday,1100,Unclassified,Dry,Daylight street lights present,Fine without high winds,Driver,Slight,Female,84,Mobility Scooter
31G0824,423746,444348,2,Leeds 2016,16/01/2016,Saturday,1415,A,Dry,Daylight street lights present,Fine without high winds,Driver,Slight,Male,47,Car
31G0824,423746,444348,2,Leeds 2016,16/01/2016,Saturday,1415,A,Dry,Daylight street lights present,Fine without high winds,Driver,Slight,Male,41,Car
31G1257,426200,431900,2,Leeds 2016,16/01/2016,Saturday,1257,A,Wet or Damp,Daylight street lights present,Fine without high winds,Driver,Slight,Female,53,Car
31G1285,431912,434798,1,Leeds 2016,16/01/2016,Saturday,1600,Unclassified,Dry,Daylight street lights present,Fine without high winds,Passenger,Serious,Male,11,Bus or coach (17 or more passenger seats)
31G1463,428987,437127,1,Leeds 2016,16/01/2016,Saturday,1939,Unclassified,Snow,Darkness street lights present and lit,Snowing without high winds,Driver,Slight,Male,19,M cycle 50cc and under
31I0172,428087,434526,2,Leeds 2016,18/01/2016,Monday,620,Unclassified,Dry,Darkness street lights present and lit,Fine without high winds,Driver,Slight,Male,26,Pedal cycle
31I1016,432064,428597,2,Leeds 2016,18/01/2016,Monday,1557,Motorway,Dry,Darkness street lights present and lit,Fine without high winds,Driver,Slight,Female,48,Car
31I1110,426248,438496,2,Leeds 2016,18/01/2016,Monday,1649,Unclassified,Wet or Damp,Daylight street lights present,Raining without high winds,Driver,Serious,Female,58,Car
31I1123,430813,433940,2,Leeds 2016,18/01/2016,Monday,1652,A,Wet or Damp,Darkness street lights present and lit,Fine without high winds,Driver,Serious,Female,40,Pedal cycle
31I1222,430947,433304,2,Leeds 2016,18/01/2016,Monday,1740,Unclassified,Wet or Damp,Darkness street lights present and lit,Other,Driver,Slight,Male,49,Pedal cycle
31I1266,426507,437848,2,Leeds 2016,18/01/2016,Monday,1620,Unclassified,Wet or Damp,Darkness street lights present and lit,Fine without high winds,Driver,Slight,Female,26,Car
31I1266,426507,437848,2,Leeds 2016,18/01/2016,Monday,1620,Unclassified,Wet or Damp,Darkness street lights present and lit,Fine without high winds,Passenger,Slight,Female,14,Car
31J0507,429187,433851,2,Leeds 2016,19/01/2016,Tuesday,830,Unclassified,Wet or Damp,Daylight street lights present,Unknown,Pedestrian,Slight,Male,17,Car
31J0604,427484,434917,1,Leeds 2016,19/01/2016,Tuesday,1226,Unclassified,Dry,Daylight street lights present,Fine without high winds,Pedestrian,Serious,Female,42,Car
31J1102,432257,435098,1,Leeds 2016,19/01/2016,Tuesday,1656,Unclassified,Wet or Damp,Darkness street lights present and lit,Fine without high winds,Pedestrian,Slight,Female,12,Car
31J1219,431496,432640,2,Leeds 2016,19/01/2016,Tuesday,1805,A,Dry,Darkness street lights present and lit,Fine without high winds,Driver,Slight,Male,27,Car
31J1219,431496,432640,2,Leeds 2016,19/01/2016,Tuesday,1805,A,Dry,Darkness street lights present and lit,Fine without high winds,Passenger,Slight,Male,31,Car
31J1219,431496,432640,2,Leeds 2016,19/01/2016,Tuesday,1805,A,Dry,Darkness street lights present and lit,Fine without high winds,Passenger,Slight,Male,29,Car
31J1219,431496,432640,2,Leeds 2016,19/01/2016,Tuesday,1805,A,Dry,Darkness street lights present and lit,Fine without high winds,Passenger,Slight,Male,28,Car
31K1170,419359,441836,2,Leeds 2016,20/01/2016,Wednesday,1740,Unclassified,Dry,Darkness street lights present and lit,Unknown,Driver,Slight,Female,40,Pedal cycle
31K1255,430901,436559,2,Leeds 2016,20/01/2016,Wednesday,805,B,Dry,Daylight street lights present,Unknown,Driver,Slight,Male,32,Pedal cycle
31K1386,437040,438286,2,Leeds 2016,20/01/2016,Wednesday,1935,Unclassified,Wet or Damp,Darkness no street lighting,Fine without high winds,Driver,Fatal,Male,73,Car
31K1386,437040,438286,2,Leeds 2016,20/01/2016,Wednesday,1935,Unclassified,Wet or Damp,Darkness no street lighting,Fine without high winds,Driver,Slight,Male,47,Car
31K1457,431892,434947,2,Leeds 2016,20/01/2016,Wednesday,2015,Unclassified,Dry,Darkness street lights present and lit,Fine without high winds,Passenger,Slight,Male,33,Car
31K1516,443265,445843,1,Leeds 2016,20/01/2016,Wednesday,750,Unclassified,Wet or Damp,Daylight street lights present,Raining without high winds,Pedestrian,Slight,Female,15,Car
31K1591,430490,426386,1,Leeds 2016,20/01/2016,Wednesday,2130,Unclassified,Wet or Damp,Darkness street lights present and lit,Other,Driver,Slight,Male,25,Car
31K1618,427298,433638,2,Leeds 2016,20/01/2016,Wednesday,2000,Unclassified,Wet or Damp,Darkness street lights present and lit,Fine without high winds,Driver,Slight,Female,27,Car
31L0241,436008,437469,1,Leeds 2016,21/01/2016,Thursday,815,Unclassified,Frost or Ice,Daylight street lights present,Fine without high winds,Driver,Slight,Male,16,M cycle 50cc and under
31L0274,431113,430719,1,Leeds 2016,21/01/2016,Thursday,845,Unclassified,Frost or Ice,Daylight street lights present,Fine without high winds,Pedestrian,Slight,Female,52,Car
31L0335,429614,439792,1,Leeds 2016,21/01/2016,Thursday,934,Unclassified,Frost or Ice,Daylight street lights present,Fine without high winds,Pedestrian,Slight,Male,33,Car
31L0756,422015,433952,2,Leeds 2016,21/01/2016,Thursday,1430,A,Wet or Damp,Daylight street lights present,Unknown,Driver,Slight,Male,62,Car
31L0811,423019,433730,1,Leeds 2016,21/01/2016,Thursday,1505,Unclassified,Wet or Damp,Darkness street lights present and lit,Raining without high winds,Pedestrian,Slight,Male,12,Car
31L1040,428607,435259,1,Leeds 2016,21/01/2016,Thursday,1708,Unclassified,Wet or Damp,Darkness street lights present and lit,Raining without high winds,Pedestrian,Slight,Male,43,Car
31L1163,423301,434736,2,Leeds 2016,21/01/2016,Thursday,1807,Unclassified,Wet or Damp,Darkness street lights present and lit,Raining without high winds,Driver,Serious,Male,22,Car
31L1270,428256,434151,2,Leeds 2016,21/01/2016,Thursday,1910,A,Wet or Damp,Darkness street lights present and lit,Fine without high winds,Driver,Slight,Female,64,Car
31L1270,428256,434151,2,Leeds 2016,21/01/2016,Thursday,1910,A,Wet or Damp,Darkness street lights present and lit,Fine without high winds,Passenger,Slight,Female,15,Car
31M0236,428509,433061,2,Leeds 2016,22/01/2016,Friday,815,B,Wet or Damp,Daylight street lights present,Raining without high winds,Driver,Slight,Female,51,Car
31M0925,426505,435684,1,Leeds 2016,22/01/2016,Friday,1552,Unclassified,Dry,Daylight street lights present,Fine without high winds,Pedestrian,Slight,Male,10,Car
31M1173,427994,435196,2,Leeds 2016,22/01/2016,Friday,1746,Unclassified,Wet or Damp,Darkness street lights present and lit,Unknown,Driver,Slight,Male,21,Pedal cycle
31M1189,427014,431619,2,Leeds 2016,22/01/2016,Friday,1800,A,Wet or Damp,Darkness street lights present and lit,Fine without high winds,Driver,Slight,Male,15,Pedal cycle
31N1341,431512,435123,2,Leeds 2016,23/01/2016,Saturday,1900,A,Wet or Damp,Darkness street lights present and lit,Raining without high winds,Driver,Slight,Female,25,Car
31N1341,431512,435123,2,Leeds 2016,23/01/2016,Saturday,1900,A,Wet or Damp,Darkness street lights present and lit,Raining without high winds,Passenger,Slight,Male,21,Car
31N1341,431512,435123,2,Leeds 2016,23/01/2016,Saturday,1900,A,Wet or Damp,Darkness street lights present and lit,Raining without high winds,Driver,Slight,Male,33,Car
31N1501,427099,433296,1,Leeds 2016,23/01/2016,Saturday,2035,Unclassified,Wet or Damp,Darkness street lights present and lit,Fine without high winds,Pedestrian,Serious,Male,42,Car
31N1522,423560,434338,1,Leeds 2016,23/01/2016,Saturday,2046,A,Wet or Damp,Darkness street lights present and lit,Raining without high winds,Passenger,Serious,Male,25,Car
31N1675,426292,435586,2,Leeds 2016,23/01/2016,Saturday,2235,A,Wet or Damp,Darkness street lights present and lit,Fine without high winds,Driver,Slight,Male,31,Car
31O0822,434421,438350,3,Leeds 2016,24/01/2016,Sunday,1350,A,Wet or Damp,Daylight street lights present,Fine without high winds,Driver,Slight,Male,63,Car
31O1246,429424,431366,2,Leeds 2016,24/01/2016,Sunday,1759,Unclassified,Wet or Damp,Darkness street lights present and lit,Fine without high winds,Driver,Slight,Male,40,Pedal cycle
31P0243,426612,433094,1,Leeds 2016,25/01/2016,Monday,745,B,Dry,Daylight street lights present,Fine without high winds,Pedestrian,Slight,Female,27,Car
31P0247,426820,434978,2,Leeds 2016,25/01/2016,Monday,836,A,Dry,Daylight street lights present,Fine without high winds,Driver,Slight,Female,63,Car
31P0315,430554,433739,2,Leeds 2016,25/01/2016,Monday,925,Unclassified,Dry,Daylight street lights present,Fine without high winds,Passenger,Slight,Male,20,Car
31P0683,426782,433631,2,Leeds 2016,25/01/2016,Monday,1305,Unclassified,Dry,Daylight street lights present,Fine without high winds,Driver,Slight,Female,66,Car
31Q0218,427302,435777,1,Leeds 2016,26/01/2016,Tuesday,825,Unclassified,Wet or Damp,Daylight street lights present,Raining without high winds,Pedestrian,Slight,Male,28,Car
31Q0748,426197,433182,1,Leeds 2016,26/01/2016,Tuesday,1400,Unclassified,Dry,Daylight street lights present,Unknown,Pedestrian,Slight,Male,21,Car
31Q1048,429848,432293,2,Leeds 2016,26/01/2016,Tuesday,1640,Unclassified,Dry,Darkness street lights present and lit,Fine without high winds,Driver,Slight,Female,59,Car
31Q1371,431285,433868,1,Leeds 2016,26/01/2016,Tuesday,1021,Unclassified,Wet or Damp,Daylight street lights present,Fine without high winds,Passenger,Slight,Female,46,Bus or coach (17 or more passenger seats)
